epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.5797558690851158,0.578425885658689,TCRbert,epi,45,1.0
1,0.5469531837223712,0.5458411702933349,TCRbert,epi,45,1.0
2,0.5321892130415987,0.548508572639711,TCRbert,epi,45,1.0
3,0.5272182121027948,0.5470329598125557,TCRbert,epi,45,1.0
4,0.5160271458586532,0.5278642249676913,TCRbert,epi,45,1.0
5,0.5101753217390838,0.5172670521198796,TCRbert,epi,45,1.0
6,0.5049406244786753,0.5301810934735623,TCRbert,epi,45,1.0
7,0.5006204989918359,0.5191346695076829,TCRbert,epi,45,1.0
8,0.4996354447076086,0.5405034783650473,TCRbert,epi,45,1.0
9,0.4997307462480993,0.5033612628159005,TCRbert,epi,45,1.0
10,0.4847791249307821,0.5058049125941022,TCRbert,epi,45,1.0
11,0.4816860557644471,0.502807114462184,TCRbert,epi,45,1.0
12,0.475918626919442,0.5025541187113733,TCRbert,epi,45,1.0
13,0.4738798833888729,0.5108903927519945,TCRbert,epi,45,1.0
14,0.47813178748505375,0.5041402330526888,TCRbert,epi,45,1.0
15,0.4800952669676565,0.5134600741634229,TCRbert,epi,45,1.0
16,0.46721479011027905,0.5083820431802725,TCRbert,epi,45,1.0
17,0.46516687093303183,0.4969334362098952,TCRbert,epi,45,1.0
18,0.46437576241235096,0.49119757954697735,TCRbert,epi,45,1.0
19,0.4591381383480507,0.48887626238136495,TCRbert,epi,45,1.0
20,0.45263333489668417,0.4847692961402507,TCRbert,epi,45,1.0
21,0.4411328851850363,0.49918959788672446,TCRbert,epi,45,1.0
22,0.44157652827842625,0.481967668774964,TCRbert,epi,45,1.0
23,0.430940231534071,0.494160691188139,TCRbert,epi,45,1.0
24,0.43596922677784683,0.48159265904798587,TCRbert,epi,45,1.0
25,0.42344748575560925,0.4819639480086347,TCRbert,epi,45,1.0
26,0.4230139680273942,0.4811234030616871,TCRbert,epi,45,1.0
27,0.41957874699670533,0.4721757762705579,TCRbert,epi,45,1.0
28,0.412852342366989,0.4892083823638822,TCRbert,epi,45,1.0
29,0.40866925658093584,0.4932642241313013,TCRbert,epi,45,1.0
30,0.41186892331512776,0.4703132940983655,TCRbert,epi,45,1.0
31,0.40011755772894325,0.46891027800727547,TCRbert,epi,45,1.0
32,0.3893234502387012,0.4731499032079783,TCRbert,epi,45,1.0
33,0.3889007880921691,0.4744249418514557,TCRbert,epi,45,1.0
34,0.3768510133852426,0.4628702837178909,TCRbert,epi,45,1.0
35,0.37433284899637476,0.46655360398339646,TCRbert,epi,45,1.0
36,0.36957344822560473,0.47736736443864397,TCRbert,epi,45,1.0
37,0.37326730255051416,0.4664361267912449,TCRbert,epi,45,1.0
38,0.3594591068699711,0.46104684902251625,TCRbert,epi,45,1.0
39,0.3480027507609778,0.4675019911046639,TCRbert,epi,45,1.0
40,0.34606774246540883,0.46589483105479057,TCRbert,epi,45,1.0
41,0.34408024962256284,0.45433393826997515,TCRbert,epi,45,1.0
42,0.3318089112475431,0.4630838834840484,TCRbert,epi,45,1.0
43,0.32639647261987376,0.4572681757023397,TCRbert,epi,45,1.0
44,0.32134667673219225,0.4761198889631235,TCRbert,epi,45,1.0
45,0.3314246930299275,0.45643546422719117,TCRbert,epi,45,1.0
46,0.3120975608029623,0.45023248433802426,TCRbert,epi,45,1.0
47,0.30033722807445945,0.4541702207724974,TCRbert,epi,45,1.0
48,0.2960434151011816,0.4589304854559593,TCRbert,epi,45,1.0
49,0.2970096640266723,0.4578529334833708,TCRbert,epi,45,1.0
50,0.2839717764643464,0.4588009288427318,TCRbert,epi,45,1.0
51,0.30428041643102277,0.45969978384331894,TCRbert,epi,45,1.0
52,0.2887404562617979,0.4476801369017428,TCRbert,epi,45,1.0
53,0.26392524308915966,0.4599215496500802,TCRbert,epi,45,1.0
54,0.2637238753853753,0.4698724146271867,TCRbert,epi,45,1.0
55,0.26599996136126586,0.4595512267611053,TCRbert,epi,45,1.0
56,0.24935015156760262,0.45479766831812796,TCRbert,epi,45,1.0
57,0.2457692299474659,0.4708452742254286,TCRbert,epi,45,1.0
58,0.2557527195731656,0.4707976738365532,TCRbert,epi,45,1.0
59,0.24826642781591987,0.46274796809271546,TCRbert,epi,45,1.0
60,0.23112148052783038,0.46191068265049007,TCRbert,epi,45,1.0
61,0.2245547567936609,0.49617346463671086,TCRbert,epi,45,1.0
62,0.2197780847758588,0.47608022326459903,TCRbert,epi,45,1.0
63,0.21913847616230608,0.48444738917720376,TCRbert,epi,45,1.0
64,0.21136865671748137,0.4878066918227764,TCRbert,epi,45,1.0
65,0.2368357379253688,0.4806370246543746,TCRbert,epi,45,1.0
66,0.20806150165516907,0.4859978896741749,TCRbert,epi,45,1.0
67,0.21756352967739276,0.4871132076177106,TCRbert,epi,45,1.0
68,0.20497913946256013,0.5042552557422706,TCRbert,epi,45,1.0
69,0.1977655190384457,0.4879535092195788,TCRbert,epi,45,1.0
70,0.19358915026802187,0.49172056917461243,TCRbert,epi,45,1.0
71,0.17572539709300256,0.49094254366633705,TCRbert,epi,45,1.0
72,0.18848208302833838,0.5120791305266205,TCRbert,epi,45,1.0
73,0.17601356958189743,0.5251213970978333,TCRbert,epi,45,1.0
74,0.177789265053565,0.5137918121559271,TCRbert,epi,45,1.0
75,0.16824753436288728,0.5326962368993698,TCRbert,epi,45,1.0
76,0.16909815390965824,0.5251011077993135,TCRbert,epi,45,1.0
77,0.17932026933707365,0.5192786127722392,TCRbert,epi,45,1.0
78,0.1533139287448037,0.5339279952470771,TCRbert,epi,45,1.0
79,0.1677283739108963,0.5517420761107725,TCRbert,epi,45,1.0
80,0.14747440406510554,0.5467400735345727,TCRbert,epi,45,1.0
81,0.13713299187439829,0.5844340480307564,TCRbert,epi,45,1.0
82,0.1588411095562361,0.5463145360952903,TCRbert,epi,45,1.0
