epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.5358426696805563,0.5014075220054358,catELMo,epi,43,1.0
1,0.47647599197414714,0.46030128180331203,catELMo,epi,43,1.0
2,0.4431435362395221,0.4347626593478964,catELMo,epi,43,1.0
3,0.42009686697735804,0.42301523977307914,catELMo,epi,43,1.0
4,0.4008150468475768,0.4007906298391555,catELMo,epi,43,1.0
5,0.38457991072491166,0.394506386604384,catELMo,epi,43,1.0
6,0.3712357652071244,0.3805504574321792,catELMo,epi,43,1.0
7,0.3592716015144905,0.3695145480503169,catELMo,epi,43,1.0
8,0.3461692347109639,0.36608913568068724,catELMo,epi,43,1.0
9,0.3366657804687254,0.34840363156760845,catELMo,epi,43,1.0
10,0.3267341129751055,0.3549842689713299,catELMo,epi,43,1.0
11,0.31547042040662937,0.3384689745485369,catELMo,epi,43,1.0
12,0.3083643235443384,0.34542500678125204,catELMo,epi,43,1.0
13,0.2988737616506233,0.350809014775673,catELMo,epi,43,1.0
14,0.289979966462569,0.32954180504724695,catELMo,epi,43,1.0
15,0.28206992799414066,0.33097203006075715,catELMo,epi,43,1.0
16,0.27218831239047453,0.3151081282345847,catELMo,epi,43,1.0
17,0.26268772261067413,0.31088800523311133,catELMo,epi,43,1.0
18,0.2558173407645835,0.30739616816642223,catELMo,epi,43,1.0
19,0.2467159619594567,0.3136952964751332,catELMo,epi,43,1.0
20,0.23851042740272038,0.34363242704695707,catELMo,epi,43,1.0
21,0.23272766936840222,0.3093892691483932,catELMo,epi,43,1.0
22,0.2227161145019609,0.3019230062131001,catELMo,epi,43,1.0
23,0.21518446418434217,0.3079338696875831,catELMo,epi,43,1.0
24,0.20815095541333048,0.29860144304010855,catELMo,epi,43,1.0
25,0.2006849719395173,0.30869517916048095,catELMo,epi,43,1.0
26,0.1925512140350735,0.2983921880370031,catELMo,epi,43,1.0
27,0.18658985036148618,0.2897594992089734,catELMo,epi,43,1.0
28,0.18026577208307,0.29385583920768504,catELMo,epi,43,1.0
29,0.17282830993818707,0.2889765657132829,catELMo,epi,43,1.0
30,0.16687547480302115,0.2967725161766618,catELMo,epi,43,1.0
31,0.16079015303761357,0.29745672376645216,catELMo,epi,43,1.0
32,0.1535049375982594,0.28632673134717396,catELMo,epi,43,1.0
33,0.14718521020445685,0.32145939506655935,catELMo,epi,43,1.0
34,0.14379603803959332,0.30812602999912075,catELMo,epi,43,1.0
35,0.13776760452074321,0.28765751857491834,catELMo,epi,43,1.0
36,0.13376346235707975,0.2975547809214868,catELMo,epi,43,1.0
37,0.12975480259967676,0.3061485847988191,catELMo,epi,43,1.0
38,0.12391995613848561,0.28772085665381114,catELMo,epi,43,1.0
39,0.11904332218798067,0.3118140262337759,catELMo,epi,43,1.0
40,0.11655325181238932,0.3100668514904327,catELMo,epi,43,1.0
41,0.11205231385311878,0.305087734743501,catELMo,epi,43,1.0
42,0.10655421525580298,0.3097540035528245,catELMo,epi,43,1.0
43,0.10283583647312694,0.31082710561916965,catELMo,epi,43,1.0
44,0.10011115339294804,0.38666886460173583,catELMo,epi,43,1.0
45,0.09823704835559904,0.31632082476325846,catELMo,epi,43,1.0
46,0.09634247285708451,0.3054492016904852,catELMo,epi,43,1.0
47,0.09031789305470668,0.316025194072911,catELMo,epi,43,1.0
48,0.09016381804955874,0.326856410674067,catELMo,epi,43,1.0
49,0.08654500251175382,0.32804064250408227,catELMo,epi,43,1.0
50,0.08265657289536665,0.3627160652989553,catELMo,epi,43,1.0
51,0.0805113139817528,0.32713814257189255,catELMo,epi,43,1.0
52,0.07852962608722429,0.3312311093463551,catELMo,epi,43,1.0
53,0.07607747893076004,0.3508667885428527,catELMo,epi,43,1.0
54,0.07447205738022164,0.34642422711228965,catELMo,epi,43,1.0
55,0.07275174804469815,0.3589634996536027,catELMo,epi,43,1.0
56,0.07175124299628173,0.34779588094684954,catELMo,epi,43,1.0
57,0.06915264760088849,0.35106823654097197,catELMo,epi,43,1.0
58,0.06900670317517743,0.36355725135861594,catELMo,epi,43,1.0
59,0.06777578372035513,0.35450786077160784,catELMo,epi,43,1.0
60,0.06416938603882053,0.36389696759479523,catELMo,epi,43,1.0
61,0.062137742024043055,0.36659442877254134,catELMo,epi,43,1.0
62,0.062463929051124564,0.36552389416681064,catELMo,epi,43,1.0
