epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.6571471651395162,0.6796531915664673,catELMo,random,42,1.0,cluster-cluster,0.03
1,0.5882874502076043,0.6698949893315633,catELMo,random,42,1.0,cluster-cluster,0.03
2,0.5562057548099094,0.6466943250762092,catELMo,random,42,1.0,cluster-cluster,0.03
3,0.536933241950141,0.6258195877075196,catELMo,random,42,1.0,cluster-cluster,0.03
4,0.517261434925927,0.6115867906146579,catELMo,random,42,1.0,cluster-cluster,0.03
5,0.5010005354881286,0.5738799280590481,catELMo,random,42,1.0,cluster-cluster,0.03
6,0.49236871070332,0.5579036712646485,catELMo,random,42,1.0,cluster-cluster,0.03
7,0.47766995429992676,0.5604523671997919,catELMo,random,42,1.0,cluster-cluster,0.03
8,0.4727805978722043,0.5555107884936863,catELMo,random,42,1.0,cluster-cluster,0.03
9,0.4635526610745324,0.5278352975845337,catELMo,random,42,1.0,cluster-cluster,0.03
10,0.4558560636308458,0.5311640487776862,catELMo,random,42,1.0,cluster-cluster,0.03
11,0.4470889409383138,0.523447056611379,catELMo,random,42,1.0,cluster-cluster,0.03
12,0.4385799984137217,0.5352614588207669,catELMo,random,42,1.0,cluster-cluster,0.03
13,0.4324739933013916,0.5210257649421692,catELMo,random,42,1.0,cluster-cluster,0.03
14,0.42669091953171623,0.5182862162590027,catELMo,random,42,1.0,cluster-cluster,0.03
15,0.4210950752099355,0.5390671756532457,catELMo,random,42,1.0,cluster-cluster,0.03
16,0.40922081536716887,0.5264797276920743,catELMo,random,42,1.0,cluster-cluster,0.03
17,0.40328455501132543,0.5382120013237,catELMo,random,42,1.0,cluster-cluster,0.03
18,0.3931612445248498,0.5345653613408407,catELMo,random,42,1.0,cluster-cluster,0.03
19,0.3896265533235338,0.5273180656962925,catELMo,random,42,1.0,cluster-cluster,0.03
20,0.3849259025520749,0.5359338230556911,catELMo,random,42,1.0,cluster-cluster,0.03
21,0.3755498985449473,0.5449000742700365,catELMo,random,42,1.0,cluster-cluster,0.03
22,0.37271767324871485,0.5422914067904154,catELMo,random,42,1.0,cluster-cluster,0.03
23,0.36541442539956837,0.5430874639087253,catELMo,random,42,1.0,cluster-cluster,0.03
24,0.36028583314683704,0.5500067366494072,catELMo,random,42,1.0,cluster-cluster,0.03
25,0.3528043250242869,0.5507227460543315,catELMo,random,42,1.0,cluster-cluster,0.03
26,0.3473199367523193,0.5627206630176969,catELMo,random,42,1.0,cluster-cluster,0.03
27,0.3449202749464247,0.5908424827787612,catELMo,random,42,1.0,cluster-cluster,0.03
28,0.3355743394957648,0.5589827974637349,catELMo,random,42,1.0,cluster-cluster,0.03
29,0.32611021598180134,0.5574227531750997,catELMo,random,42,1.0,cluster-cluster,0.03
30,0.3279592745833927,0.5689232163959079,catELMo,random,42,1.0,cluster-cluster,0.03
31,0.32312317026986015,0.6090356190999349,catELMo,random,42,1.0,cluster-cluster,0.03
32,0.3147246963447995,0.627531001302931,catELMo,random,42,1.0,cluster-cluster,0.03
33,0.3117803911368052,0.5756892124811809,catELMo,random,42,1.0,cluster-cluster,0.03
34,0.30448851784070335,0.581838685936398,catELMo,random,42,1.0,cluster-cluster,0.03
35,0.295351207918591,0.5952827586068048,catELMo,random,42,1.0,cluster-cluster,0.03
36,0.2896791464752621,0.586415167649587,catELMo,random,42,1.0,cluster-cluster,0.03
37,0.29065414468447365,0.5961655524041918,catELMo,random,42,1.0,cluster-cluster,0.03
38,0.28926375375853647,0.5901446620623271,catELMo,random,42,1.0,cluster-cluster,0.03
39,0.27125772370232476,0.6030996561050415,catELMo,random,42,1.0,cluster-cluster,0.03
40,0.2689619176917606,0.6041965934965345,catELMo,random,42,1.0,cluster-cluster,0.03
41,0.2729158891571893,0.6372806655036078,catELMo,random,42,1.0,cluster-cluster,0.03
42,0.26153281662199235,0.6223662892977396,catELMo,random,42,1.0,cluster-cluster,0.03
43,0.25550195972124734,0.6239280104637146,catELMo,random,42,1.0,cluster-cluster,0.03
44,0.25510679814550613,0.6296424150466919,catELMo,random,42,1.0,cluster-cluster,0.03
