epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.5550486453805347,0.513669125999313,catELMo,random,42,1.0,cluster-random,1
1,0.5131865113465915,0.49591386125989817,catELMo,random,42,1.0,cluster-random,1
2,0.49274992346248303,0.47265435591036464,catELMo,random,42,1.0,cluster-random,1
3,0.4735139987053605,0.4511997847799251,catELMo,random,42,1.0,cluster-random,1
4,0.4567627608769884,0.4422340932552886,catELMo,random,42,1.0,cluster-random,1
5,0.44240823816068897,0.42490667255092357,catELMo,random,42,1.0,cluster-random,1
6,0.4309252803829872,0.4263556490209787,catELMo,random,42,1.0,cluster-random,1
7,0.42247078201420857,0.41378264663904973,catELMo,random,42,1.0,cluster-random,1
8,0.4143401048643108,0.4024033275071663,catELMo,random,42,1.0,cluster-random,1
9,0.406475625221224,0.4003333973217038,catELMo,random,42,1.0,cluster-random,1
10,0.40182992990586175,0.40271674660507684,catELMo,random,42,1.0,cluster-random,1
11,0.3964435431491283,0.397946894176304,catELMo,random,42,1.0,cluster-random,1
12,0.3917027470210719,0.38930687211954634,catELMo,random,42,1.0,cluster-random,1
13,0.3870530145889263,0.38233376011854014,catELMo,random,42,1.0,cluster-random,1
14,0.38320537009714223,0.38057780934594027,catELMo,random,42,1.0,cluster-random,1
15,0.37938660905842697,0.41652900679132043,catELMo,random,42,1.0,cluster-random,1
16,0.3767503486383413,0.37821656604353765,catELMo,random,42,1.0,cluster-random,1
17,0.37271785032238897,0.39754562209975763,catELMo,random,42,1.0,cluster-random,1
18,0.3699733127223216,0.36740487013418055,catELMo,random,42,1.0,cluster-random,1
19,0.3658227377947397,0.3640919369606419,catELMo,random,42,1.0,cluster-random,1
20,0.3632881933815729,0.3630157989351199,catELMo,random,42,1.0,cluster-random,1
21,0.36171211013172644,0.3655517586983371,catELMo,random,42,1.0,cluster-random,1
22,0.35913784869733817,0.3595010668336091,catELMo,random,42,1.0,cluster-random,1
23,0.3560985710781383,0.36393951981530864,catELMo,random,42,1.0,cluster-random,1
24,0.35408149638128855,0.3603353258729115,catELMo,random,42,1.0,cluster-random,1
25,0.35219322107043344,0.3543103582463877,catELMo,random,42,1.0,cluster-random,1
26,0.3483927363187663,0.3558939116161856,catELMo,random,42,1.0,cluster-random,1
27,0.3472441178449652,0.35357197751616853,catELMo,random,42,1.0,cluster-random,1
28,0.3448509419635962,0.35092996469060955,catELMo,random,42,1.0,cluster-random,1
