epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.5563922634920515,0.5147902172725154,catELMo,random,45,1.0,cluster-cluster,1
1,0.5141460952926842,0.4945166845887081,catELMo,random,45,1.0,cluster-cluster,1
2,0.49200500210987985,0.4724160767705196,catELMo,random,45,1.0,cluster-cluster,1
3,0.46995355234378366,0.4539199510885623,catELMo,random,45,1.0,cluster-cluster,1
4,0.45527162032424917,0.43552423415544217,catELMo,random,45,1.0,cluster-cluster,1
5,0.44219087014605757,0.4288478875492003,catELMo,random,45,1.0,cluster-cluster,1
6,0.43141563245987397,0.41785144311458605,catELMo,random,45,1.0,cluster-cluster,1
7,0.42258879156397744,0.41416268271384876,catELMo,random,45,1.0,cluster-cluster,1
8,0.4161257493069974,0.40693760648339367,catELMo,random,45,1.0,cluster-cluster,1
9,0.40976218345204257,0.427429917296898,catELMo,random,45,1.0,cluster-cluster,1
10,0.40298128613806844,0.3944638888305249,catELMo,random,45,1.0,cluster-cluster,1
11,0.397592677738949,0.41294238609794,catELMo,random,45,1.0,cluster-cluster,1
12,0.39280106831409867,0.3921868132144768,catELMo,random,45,1.0,cluster-cluster,1
13,0.38957814128584317,0.4088466117446221,catELMo,random,45,1.0,cluster-cluster,1
14,0.3839431795371096,0.38932894079204716,catELMo,random,45,1.0,cluster-cluster,1
15,0.3820707211700432,0.3808433711205933,catELMo,random,45,1.0,cluster-cluster,1
16,0.37747649607919564,0.39589313870494325,catELMo,random,45,1.0,cluster-cluster,1
17,0.37348999199366645,0.3768251039282411,catELMo,random,45,1.0,cluster-cluster,1
18,0.371078247149429,0.37927099453559054,catELMo,random,45,1.0,cluster-cluster,1
19,0.3679591522913443,0.3686765982622326,catELMo,random,45,1.0,cluster-cluster,1
20,0.36466400878594396,0.37046014112902903,catELMo,random,45,1.0,cluster-cluster,1
21,0.3622694609998798,0.36162649239407424,catELMo,random,45,1.0,cluster-cluster,1
22,0.3606801750256898,0.36209067003333884,catELMo,random,45,1.0,cluster-cluster,1
23,0.35870924570272766,0.35819099365008444,catELMo,random,45,1.0,cluster-cluster,1
24,0.35512997189716144,0.35496972064878346,catELMo,random,45,1.0,cluster-cluster,1
25,0.352485111317863,0.377843400127346,catELMo,random,45,1.0,cluster-cluster,1
26,0.35165373472699196,0.3504245776190598,catELMo,random,45,1.0,cluster-cluster,1
27,0.34971443268480423,0.34915681951274763,catELMo,random,45,1.0,cluster-cluster,1
28,0.3460936888924573,0.3625858115293618,catELMo,random,45,1.0,cluster-cluster,1
29,0.34374488852105023,0.34659752275917827,catELMo,random,45,1.0,cluster-cluster,1
30,0.3415250472184645,0.34647899955507366,catELMo,random,45,1.0,cluster-cluster,1
31,0.341200466428318,0.3445805375858931,catELMo,random,45,1.0,cluster-cluster,1
32,0.3396877910923233,0.3479673760736253,catELMo,random,45,1.0,cluster-cluster,1
33,0.3372038974983558,0.34656623900892797,catELMo,random,45,1.0,cluster-cluster,1
34,0.3357198343725283,0.35510788790077313,catELMo,random,45,1.0,cluster-cluster,1
35,0.33438714069886005,0.36016437011725466,catELMo,random,45,1.0,cluster-cluster,1
36,0.3332597941334196,0.34378406472873857,catELMo,random,45,1.0,cluster-cluster,1
37,0.3303595122964869,0.34560977137390264,catELMo,random,45,1.0,cluster-cluster,1
38,0.3287297636198349,0.33795706088565486,catELMo,random,45,1.0,cluster-cluster,1
39,0.32827266666932015,0.3373072459746796,catELMo,random,45,1.0,cluster-cluster,1
40,0.3258926063009729,0.3374822679015379,catELMo,random,45,1.0,cluster-cluster,1
41,0.3255640492638303,0.340768745869757,catELMo,random,45,1.0,cluster-cluster,1
42,0.3229188313675551,0.3321157912056494,catELMo,random,45,1.0,cluster-cluster,1
43,0.32124544580339787,0.34456471348274725,catELMo,random,45,1.0,cluster-cluster,1
44,0.32007433747603775,0.3346626880139014,catELMo,random,45,1.0,cluster-cluster,1
45,0.3196017408693939,0.33364545404451607,catELMo,random,45,1.0,cluster-cluster,1
46,0.3171788049992488,0.3278453502810094,catELMo,random,45,1.0,cluster-cluster,1
47,0.3159133583650753,0.3314390905345163,catELMo,random,45,1.0,cluster-cluster,1
48,0.31588160599957266,0.32822626688461404,catELMo,random,45,1.0,cluster-cluster,1
49,0.31292142021739167,0.32609575988973094,catELMo,random,45,1.0,cluster-cluster,1
50,0.31255780728359783,0.3333380031457052,catELMo,random,45,1.0,cluster-cluster,1
51,0.3117342910872693,0.32729434643202604,catELMo,random,45,1.0,cluster-cluster,1
52,0.3094894800977111,0.325676141494334,catELMo,random,45,1.0,cluster-cluster,1
53,0.308249343456746,0.32634613336108587,catELMo,random,45,1.0,cluster-cluster,1
54,0.3074165587122343,0.3297902245476049,catELMo,random,45,1.0,cluster-cluster,1
55,0.30579137626329606,0.325576266158765,catELMo,random,45,1.0,cluster-cluster,1
56,0.30534074942306305,0.3261199834386407,catELMo,random,45,1.0,cluster-cluster,1
57,0.30350714385425986,0.32036652493753026,catELMo,random,45,1.0,cluster-cluster,1
58,0.30366293970244773,0.32286409126942883,catELMo,random,45,1.0,cluster-cluster,1
59,0.30230010047112843,0.32286679652585454,catELMo,random,45,1.0,cluster-cluster,1
60,0.2998472579601456,0.3252422788019881,catELMo,random,45,1.0,cluster-cluster,1
61,0.29887477097169624,0.3260093217174002,catELMo,random,45,1.0,cluster-cluster,1
62,0.29884638846271655,0.3260410023274002,catELMo,random,45,1.0,cluster-cluster,1
63,0.29869688289283297,0.3245200160756558,catELMo,random,45,1.0,cluster-cluster,1
64,0.29568360691915935,0.3213891164719385,catELMo,random,45,1.0,cluster-cluster,1
65,0.2956092423284453,0.3287462485002471,catELMo,random,45,1.0,cluster-cluster,1
66,0.2937139827266417,0.3213912795001847,catELMo,random,45,1.0,cluster-cluster,1
